pubID,trial,freq
G002-119,G002,0.02077922077922078
G002-136,G002,0.039473684210526314
G002-145,G002,0.0410958904109589
G002-230,G002,0.04
G002-254,G002,0.07692307692307693
G002-278,G002,0.05194805194805195
G002-293,G002,0.01639344262295082
G002-302,G002,0.05357142857142857
G002-304,G002,0.034013605442176874
G002-341,G002,0.021551724137931036
G002-427,G002,0.0449438202247191
G002-462,G002,0.25
G002-477,G002,0.05581395348837209
G002-479,G002,0.03389830508474576
G002-480,G002,0.0
G002-493,G002,0.006134969325153374
G002-502,G002,0.03676470588235294
G002-509,G002,0.045454545454545456
G002-516,G002,0.02127659574468085
G002-546,G002,0.030927835051546393
G002-577,G002,0.06884057971014493
G002-595,G002,0.016233766233766232
G002-616,G002,0.0794979079497908
G002-619,G002,0.12206572769953052
G002-620,G002,0.0
G002-630,G002,0.04692556634304207
G002-632,G002,0.058823529411764705
G002-678,G002,0.03807106598984772
G002-689,G002,0.011235955056179775
G002-733,G002,0.09090909090909091
G002-758,G002,0.043333333333333335
G002-796,G002,0.04276315789473684
G002-810,G002,0.16666666666666666
G002-813,G002,0.009375
G002-820,G002,0.0429042904290429
G002-825,G002,0.0625
G002-831,G002,0.06944444444444445
G002-834,G002,0.0
G002-852,G002,0.060240963855421686
G002-855,G002,0.05454545454545454
G002-866,G002,0.0
G002-884,G002,0.026442307692307692
G002-905,G002,0.034482758620689655
G002-931,G002,0.025183630640083946
G002-943,G002,0.0189873417721519
G002-947,G002,0.09090909090909091
G002-957,G002,0.0
G002-969,G002,0.0
G002-988,G002,0.03917050691244239
G002-997,G002,0.04149377593360996
G003-135,G003,0.03355704697986577
G003-138,G003,0.0
G003-210,G003,0.03508771929824561
G003-243,G003,0.08713692946058091
G003-291,G003,0.018018018018018018
G003-396,G003,0.07228915662650602
G003-434,G003,0.04720496894409938
G003-516,G003,0.06857727737973388
G003-550,G003,0.04580152671755725
G003-611,G003,0.03347280334728033
G003-622,G003,0.05454545454545454
G003-630,G003,0.0875
G003-710,G003,0.04504504504504504
G003-732,G003,0.034334763948497854
G003-753,G003,0.10300429184549356
G003-768,G003,0.0
G003-799,G003,0.12578616352201258
G003-831,G003,0.0
PubID_005,G001,0.0
PubID_009,G001,0.09375
PubID_023,G001,0.041666666666666664
PubID_028,G001,0.0
PubID_032,G001,0.13636363636363635
PubID_036,G001,0.0
PubID_046,G001,0.05
PubID_047,G001,0.0
PubID_051,G001,0.125
PubID_056,G001,0.5
PubID_059,G001,0.0
PubID_060,G001,0.17647058823529413
PubID_062,G001,0.0
PubID_064,G001,0.14285714285714285
PubID_068,G001,0.0
PubID_070,G001,0.13636363636363635
PubID_077,G001,0.09090909090909091
PubID_079,G001,0.0
PubID_092,G001,0.045454545454545456
PubID_100,G001,0.07692307692307693
PubID_110,G001,0.0
PubID_112,G001,0.041666666666666664
PubID_113,G001,0.1875
PubID_114,G001,0.0
PubID_116,G001,0.0
PubID_117,G001,0.14285714285714285
PubID_151,G001,0.3
PubID_154,G001,0.09090909090909091
PubID_163,G001,0.0
PubID_172,G001,0.0
PubID_177,G001,0.06896551724137931
PubID_187,G001,0.11764705882352941
PubID_191,G001,0.25
PubID_193,G001,0.15789473684210525
