pubID,pseudogroup,is_cp,weeks,KD_fix,Kon,Koff,Ligand,Analyte
G002-630,5.0,True,24.0,7.651e-07,843.6,0.00064545,G002-630_2_24_Cg28v2_VRC01c_2002,001428_MD39_L14_m2
G002-341,3.0,True,16.0,2.085e-06,390.4,0.00081384,G002-341_2_16_Cg28v2_VRC01c_2078,001428_MD39_L14_m2
G002-820,5.0,True,24.0,3.529e-06,118.5,0.00041831,G002-820_2_24_Cg28v2_VRC01c_2005,001428_MD39_L14_m2
G002-595,2.0,True,16.0,5e-05,100.0,0.41987798,G002-595_3_16_Cg28v2_VRC01c_2085,001428_MD39_L14_m2
G002-943,5.0,True,24.0,5.542e-07,455.8,0.00025261,G002-943_2_24_Cg28v2_VRC01c_2001,001428_MD39_L14_m2
G002-145,5.0,True,24.0,1.747e-06,401.0,0.00070035,G002-145_2_24_Cg28v2_VRC01c_2004,001428_MD39_L14_m2
G002-278,6.0,True,24.0,1.095e-06,746.1,0.00081688,G002-278_3_24_Cg28v2_VRC01c_2070,001428_MD39_L14_m2
G002-304,6.0,True,24.0,9.058e-07,369.3,0.00033454,G002-304_3_24_Cg28v2_VRC01c_2006,001428_MD39_L14_m2
G002-855,1.0,True,8.0,5e-05,100.0,0.46021734,G002-855_2_8_Cg28v2_VRC01c_2092,001428_MD39_L14_m2
G002-341,3.0,True,16.0,5e-05,100.0,0.29510735,G002-341_2_16_Cg28v2_VRC01c_2022,001428_MD39_L14_m2
G002-943,3.0,True,16.0,1.16e-07,381.0,4.42e-05,G002-943_2_16_Cg28v2_VRC01c_2012,001428_MD39_L14_m2
G002-831,5.0,True,24.0,1.179e-06,519.2,0.00061201,G002-831_2_24_Cg28v2_VRC01c_2000,001428_MD39_L14_m2
G002-831,1.0,True,8.0,5e-05,100.0,0.67765829,G002-831_2_8_Cg28v2_VRC01c_2108,001428_MD39_L14_m2
G002-119,3.0,True,16.0,5e-05,,,G002-119_2_16_Cg28v2_VRC01c_2068,001428_MD39_L14_m2
G002-855,5.0,True,24.0,5e-05,,,G002-855_2_24_Cg28v2_VRC01c_2028,001428_MD39_L14_m2
G002-145,3.0,True,16.0,5e-05,,,G002-145_2_16_Cg28v2_VRC01c_2025,001428_MD39_L14_m2
G002-957,5.0,True,24.0,5e-05,,,G002-957_2_24_Cg28v2_VRC01c_2013,001428_MD39_L14_m2
G002-427,6.0,True,24.0,5e-05,,,G002-427_3_24_Cg28v2_VRC01c_2097,001428_MD39_L14_m2
G002-480,5.0,True,24.0,5e-05,,,G002-480_2_24_Cg28v2_VRC01c_2031,001428_MD39_L14_m2
G002-577,5.0,True,24.0,5e-05,,,G002-577_2_24_Cg28v2_VRC01c_2011,001428_MD39_L14_m2
G002-632,2.0,True,16.0,5e-05,,,G002-632_3_16_Cg28v2_VRC01c_2063,001428_MD39_L14_m2
G002-758,2.0,True,16.0,5e-05,,,G002-758_1_16_Cg28v2_VRC01c_2095,001428_MD39_L14_m2
G002-810,2.0,True,16.0,5e-05,,,G002-810_3_16_Cg28v2_VRC01c_2107,001428_MD39_L14_m2
G002-825,6.0,True,24.0,5e-05,,,G002-825_3_24_Cg28v2_VRC01c_2057,001428_MD39_L14_m2
G002-119,1.0,True,8.0,5e-05,,,G002-119_2_8_Cg28v2_VRC01c_2120,001428_MD39_L14_m2
G002-866,2.0,True,16.0,5e-05,,,G002-866_3_16_Cg28v2_VRC01c_2039,001428_MD39_L14_m2
G002-293,1.0,True,8.0,5e-05,,,G002-293_2_8_Cg28v2_VRC01c_2112,001428_MD39_L14_m2
G002-947,1.0,True,8.0,5e-05,,,G002-947_2_8_Cg28v2_VRC01c_2124,001428_MD39_L14_m2
G002-341,5.0,True,24.0,5e-05,,,G002-341_2_24_Cg28v2_VRC01c_2023,001428_MD39_L14_m2
G002-516,2.0,True,16.0,5e-05,,,G002-516_1_16_Cg28v2_VRC01c_2101,001428_MD39_L14_m2
G002-595,6.0,True,24.0,5e-05,,,G002-595_3_24_Cg28v2_VRC01c_2032,001428_MD39_L14_m2
G002-678,2.0,True,16.0,5e-05,,,G002-678_1_16_Cg28v2_VRC01c_2066,001428_MD39_L14_m2
G002-796,2.0,True,16.0,5e-05,,,G002-796_3_16_Cg28v2_VRC01c_2044,001428_MD39_L14_m2
G002-855,5.0,True,24.0,5e-05,,,G002-855_2_24_Cg28v2_VRC01c_2029,001428_MD39_L14_m2
G002-884,6.0,True,24.0,5e-05,,,G002-884_3_24_Cg28v2_VRC01c_2047,001428_MD39_L14_m2
G002-943,1.0,True,8.0,5e-05,,,G002-943_2_8_Cg28v2_VRC01c_2114,001428_MD39_L14_m2
G002-957,1.0,True,8.0,5e-05,,,G002-957_2_8_Cg28v2_VRC01c_2113,001428_MD39_L14_m2
G002-502,4.0,True,24.0,5e-05,,,G002-502_1_24_Cg28v2_VRC01c_2053,001428_MD39_L14_m2
G002-577,1.0,True,8.0,5e-05,,,G002-577_2_8_Cg28v2_VRC01c_2126,001428_MD39_L14_m2
G002-619,4.0,True,24.0,5e-05,,,G002-619_1_24_Cg28v2_VRC01c_2071,001428_MD39_L14_m2
G002-632,2.0,True,16.0,5e-05,,,G002-632_3_16_Cg28v2_VRC01c_2103,001428_MD39_L14_m2
G002-758,2.0,True,16.0,5e-05,,,G002-758_1_16_Cg28v2_VRC01c_2100,001428_MD39_L14_m2
G002-813,2.0,True,16.0,5e-05,,,G002-813_1_16_Cg28v2_VRC01c_2082,001428_MD39_L14_m2
G002-136,3.0,True,16.0,5e-05,,,G002-136_2_16_Cg28v2_VRC01c_2110,001428_MD39_L14_m2
G002-866,6.0,True,24.0,5e-05,,,G002-866_3_24_Cg28v2_VRC01c_2076,001428_MD39_L14_m2
G002-931,2.0,True,16.0,5e-05,,,G002-931_3_16_Cg28v2_VRC01c_2052,001428_MD39_L14_m2
G002-302,2.0,True,16.0,5e-05,,,G002-302_1_16_Cg28v2_VRC01c_2055,001428_MD39_L14_m2
G002-957,3.0,True,16.0,5e-05,,,G002-957_2_16_Cg28v2_VRC01c_2059,001428_MD39_L14_m2
G002-988,6.0,True,24.0,5e-05,,,G002-988_3_24_Cg28v2_VRC01c_2049,001428_MD39_L14_m2
G002-516,2.0,True,16.0,5e-05,,,G002-516_1_16_Cg28v2_VRC01c_2118,001428_MD39_L14_m2
G002-595,6.0,True,24.0,5e-05,,,G002-595_3_24_Cg28v2_VRC01c_2040,001428_MD39_L14_m2
G002-630,5.0,True,24.0,5e-05,,,G002-630_2_24_Cg28v2_VRC01c_2007,001428_MD39_L14_m2
G002-678,4.0,True,24.0,5e-05,,,G002-678_1_24_Cg28v2_VRC01c_2027,001428_MD39_L14_m2
